horizon,scenario_mode,seed,n_origins,mae,rmse,directional_accuracy,nlpd,crps,pit_mean,pit_variance,realized_es95,forecast_es95,realized_es99,forecast_es99,drawdown_90_coverage,drawdown_95_coverage,time_under_water_mae,coverage_50,width_50,interval_score_50,coverage_80,width_80,interval_score_80,coverage_90,width_90,interval_score_90,coverage_95,width_95,interval_score_95,kupiec_95_observations,kupiec_95_exceedances,kupiec_95_expected_rate,kupiec_95_observed_rate,kupiec_95_lr_uc,kupiec_95_p_value_uc,christoffersen_95_observations,christoffersen_95_exceedances,christoffersen_95_expected_rate,christoffersen_95_observed_rate,christoffersen_95_lr_uc,christoffersen_95_p_value_uc,christoffersen_95_n00,christoffersen_95_n01,christoffersen_95_n10,christoffersen_95_n11,christoffersen_95_lr_independence,christoffersen_95_p_value_independence,christoffersen_95_lr_conditional_coverage,christoffersen_95_p_value_conditional_coverage,kupiec_99_observations,kupiec_99_exceedances,kupiec_99_expected_rate,kupiec_99_observed_rate,kupiec_99_lr_uc,kupiec_99_p_value_uc,christoffersen_99_observations,christoffersen_99_exceedances,christoffersen_99_expected_rate,christoffersen_99_observed_rate,christoffersen_99_lr_uc,christoffersen_99_p_value_uc,christoffersen_99_n00,christoffersen_99_n01,christoffersen_99_n10,christoffersen_99_n11,christoffersen_99_lr_independence,christoffersen_99_p_value_independence,christoffersen_99_lr_conditional_coverage,christoffersen_99_p_value_conditional_coverage
20,point_estimate,11,1884.0,0.04721574632761255,0.06309785295165596,0.5599787685774947,-1.2064848968805697,0.03499445128912153,0.5233975777116573,0.07279263055509759,0.17190699395987827,0.4300014504347328,0.1123682733902063,0.7207405088691073,0.9394904458598726,0.9723991507430998,3.5901970963961114,0.5318471337579618,0.07426030914247542,0.1499404386554629,0.8646496815286624,0.23118576005091404,0.2777876161424897,0.9623142250530785,0.4474413652208129,0.47243629209504123,0.9904458598726115,0.7394605847129668,0.7505307420554187,1884.0,28.0,0.05,0.014861995753715499,66.8788440427063,2.8871676043911763e-16,1884.0,28.0,0.05,0.014861995753715499,66.8788440427063,2.8871676043911763e-16,1839.0,16.0,16.0,12.0,69.05082688797097,9.595829441039656e-17,135.92967093067728,3.0426149435713857e-30,1884.0,1.0,0.01,0.0005307855626326964,29.978131165488485,4.369465046098306e-08,1884.0,1.0,0.01,0.0005307855626326964,29.978131165488485,4.369465046098306e-08,1881.0,1.0,1.0,0.0,0.0010626993064022372,0.9739943121852167,29.979193864794887,3.091012535300503e-07
20,point_estimate,42,1884.0,0.04661032268453701,0.06211666536387196,0.571656050955414,-1.2016785362047069,0.034873620724827935,0.5229384536205487,0.07212315789820015,0.1550760526742019,0.43493919714706764,0.1206879811478922,0.7236779444109048,0.9357749469214437,0.9745222929936306,3.5749209451777917,0.5366242038216561,0.07477598782125548,0.14903369072459333,0.8779193205944799,0.2326810422965897,0.27725410783909815,0.9670912951167728,0.45039287199141126,0.46957717645950986,0.9920382165605095,0.7436037197594447,0.7523849411689159,1884.0,26.0,0.05,0.013800424628450107,72.02552558543334,2.1243162733288093e-17,1884.0,26.0,0.05,0.013800424628450107,72.02552558543334,2.1243162733288093e-17,1839.0,18.0,18.0,8.0,39.50065457079705,3.2794947479134796e-10,111.5261801562304,6.058954416939618e-25,1884.0,2.0,0.01,0.0010615711252653928,24.860247692164766,6.164049124655928e-07,1884.0,2.0,0.01,0.0010615711252653928,24.860247692164766,6.164049124655928e-07,1879.0,2.0,2.0,0.0,0.004253057685843942,0.9480024431030168,24.86450074985061,3.987881681541448e-06
20,point_estimate,73,1884.0,0.0465078795429866,0.0624850398740662,0.571656050955414,-1.2099441424272392,0.03481084401923462,0.5234550316195724,0.07175177479380554,0.16946436494697842,0.43219557956554666,0.1123682733902063,0.7183593809408647,0.9341825902335457,0.970276008492569,3.578107461596846,0.5382165605095541,0.07458591107741602,0.14904608012155543,0.8763269639065817,0.23415334288432277,0.27639561862396644,0.9692144373673036,0.45296635267269686,0.47256471191872745,0.9941613588110403,0.7413100244264428,0.7469790041461255,1884.0,23.0,0.05,0.012208067940552018,80.3389824955349,3.15385300543559e-19,1884.0,23.0,0.05,0.012208067940552018,80.3389824955349,3.15385300543559e-19,1847.0,13.0,13.0,10.0,61.90455205931045,3.6051518165506626e-15,142.24353455484535,1.2948185964690824e-31,1884.0,1.0,0.01,0.0005307855626326964,29.978131165488485,4.369465046098306e-08,1884.0,1.0,0.01,0.0005307855626326964,29.978131165488485,4.369465046098306e-08,1881.0,1.0,1.0,0.0,0.0010626993064022372,0.9739943121852167,29.979193864794887,3.091012535300503e-07
20,posterior_mean_mc,11,1884.0,0.043639707081134085,0.060000678610051025,0.5854564755838642,-0.9246412350146256,0.03241699872444829,0.5041745669087674,0.10304501090914066,0.10277950881201645,0.09892630423409729,0.14069318547202422,0.15152294464336608,0.8089171974522293,0.8805732484076433,3.5829548087540157,0.40658174097664546,0.05568328818960899,0.14458207126688,0.7192144373673036,0.11638463393880254,0.22416800176077797,0.8211252653927813,0.15928464319030564,0.29699401670311487,0.8848195329087049,0.20194301204868073,0.38081987198548317,1884.0,210.0,0.05,0.11146496815286625,112.76796496338284,2.4256345601757573e-26,1884.0,210.0,0.05,0.11146496815286625,112.76796496338284,2.4256345601757573e-26,1627.0,46.0,46.0,164.0,674.7923202874158,9.06615625832088e-149,787.5602852507986,9.626246416197891e-172,1884.0,92.0,0.01,0.04883227176220807,148.37630037316626,3.925313204635837e-34,1884.0,92.0,0.01,0.04883227176220807,148.37630037316626,3.925313204635837e-34,1765.0,26.0,26.0,66.0,353.63438197448386,6.850352869186654e-79,502.0106823476501,9.767094731125971e-110
20,posterior_mean_mc,42,1884.0,0.04350583457003405,0.059854161803464256,0.5881104033970276,-0.9636390209454432,0.03233384729196215,0.5041217619376814,0.10237562829327483,0.10278611955848593,0.09947329227862967,0.1448148696828894,0.1517246160712829,0.8036093418259024,0.888004246284501,3.5711624434563696,0.416135881104034,0.05585267926930006,0.14369632114626876,0.7181528662420382,0.11662865689470735,0.22397478154033207,0.8259023354564756,0.15974478114388815,0.29706119806340225,0.888004246284501,0.20295103625371053,0.38392291444241405,1884.0,209.0,0.05,0.11093418259023355,111.03618117975248,5.810058561852507e-26,1884.0,209.0,0.05,0.11093418259023355,111.03618117975248,5.810058561852507e-26,1634.0,40.0,40.0,169.0,730.9337716279529,5.61250931351574e-161,841.9699528077053,1.474170728994992e-183,1884.0,84.0,0.01,0.044585987261146494,123.11556955399317,1.3155843724812476e-28,1884.0,84.0,0.01,0.044585987261146494,123.11556955399317,1.3155843724812476e-28,1771.0,28.0,28.0,56.0,291.0309045322027,2.9643733504912628e-65,414.1464740861959,1.1728319876366367e-90
20,posterior_mean_mc,73,1884.0,0.0434483127820509,0.059723935742476725,0.583864118895966,-1.0431094254912234,0.03221045195934568,0.5041376509129503,0.10233291059350677,0.10249958352629619,0.09912947693918214,0.1436566654240765,0.15068312538524764,0.8073248407643312,0.8853503184713376,3.5610600260054475,0.4145435244161359,0.05595604987760366,0.14357112739883862,0.7160297239915074,0.11713369960014235,0.22293354900845233,0.8179405520169851,0.15935454336056717,0.29108927113669164,0.8911889596602972,0.20232445622640727,0.3725347384972471,1884.0,213.0,0.05,0.11305732484076433,118.02745058160508,1.7100490100799732e-27,1884.0,213.0,0.05,0.11305732484076433,118.02745058160508,1.7100490100799732e-27,1633.0,37.0,37.0,176.0,777.5554685605699,4.092540000588646e-171,895.582919142175,3.3623279043355235e-195,1884.0,83.0,0.01,0.0440552016985138,120.06728788275416,6.115088083632531e-28,1884.0,83.0,0.01,0.0440552016985138,120.06728788275416,6.115088083632531e-28,1774.0,26.0,26.0,57.0,305.33367751616856,2.268695276401148e-68,425.4009653989227,4.220404383727854e-93
20,variational_posterior,11,1884.0,0.043528960399466035,0.060050522837310674,0.5865180467091295,-1.377332729099942,0.03207088271251606,0.5007207621010887,0.0794193569398098,0.12594830492063147,0.13053694459631549,0.18568410051484363,0.21190672180418532,0.8826963906581741,0.9341825902335457,3.552388301085225,0.5286624203821656,0.07242290719726549,0.14291013585756557,0.8179405520169851,0.14594963514049444,0.21830543943953656,0.8964968152866242,0.19712200801512286,0.2800863050477353,0.945859872611465,0.251829520545316,0.3513157295958271,1884.0,138.0,0.05,0.0732484076433121,18.866773159226568,1.401730813979385e-05,1884.0,138.0,0.05,0.0732484076433121,18.866773159226568,1.401730813979385e-05,1712.0,33.0,33.0,105.0,507.8383827463299,1.8729346523546877e-112,526.7051559055565,4.240612606774193e-115,1884.0,39.0,0.01,0.020700636942675158,16.6498846423695,4.495304232292818e-05,1884.0,39.0,0.01,0.020700636942675158,16.6498846423695,4.495304232292818e-05,1826.0,18.0,18.0,21.0,123.28353565367115,1.2087984695546757e-28,139.93342029604065,4.110019342884858e-31
20,variational_posterior,42,1884.0,0.04362556742581911,0.059941004375895675,0.5817409766454352,-1.3826385861845034,0.03203684000541842,0.5014150400960553,0.07985963193633436,0.12744655229619384,0.13005580970618183,0.18391645649894156,0.21111728954164513,0.8858811040339702,0.9320594479830149,3.555066059282602,0.5207006369426752,0.07253724112289424,0.14280941427564794,0.8158174097664543,0.1460804135020231,0.2168662823610561,0.8991507430997877,0.197268235796352,0.2798313829518141,0.9394904458598726,0.25016718715815955,0.35797383863051435,1884.0,133.0,0.05,0.07059447983014862,14.998366528993301,0.0001076042781788478,1884.0,133.0,0.05,0.07059447983014862,14.998366528993301,0.0001076042781788478,1719.0,31.0,31.0,102.0,505.40048205833006,6.352532316826198e-112,520.3988485873233,9.927178588852243e-114,1884.0,46.0,0.01,0.024416135881104035,28.202070749627126,1.0928758399195785e-07,1884.0,46.0,0.01,0.024416135881104035,28.202070749627126,1.0928758399195785e-07,1820.0,17.0,17.0,29.0,178.71340680099888,9.254250725023091e-41,206.915477550626,1.1718578664249581e-45
20,variational_posterior,73,1884.0,0.043615398898837913,0.05979689380235778,0.5865180467091295,-1.3660587214119213,0.03198185522140522,0.4999263891922562,0.07913117962695176,0.13105056451423788,0.1291072692672639,0.18942428050888382,0.20765178689184446,0.8869426751592356,0.9357749469214437,3.555288995987799,0.5254777070063694,0.07245276589861123,0.1424517465085523,0.8121019108280255,0.14552464969684706,0.21677848428384514,0.9012738853503185,0.1967497583151333,0.27775290161845856,0.9453290870488322,0.2504272085649108,0.35266846526288037,1884.0,127.0,0.05,0.06740976645435244,10.891594856897996,0.0009660161467815408,1884.0,127.0,0.05,0.06740976645435244,10.891594856897996,0.0009660161467815408,1724.0,32.0,32.0,95.0,467.01262383732956,1.4316866662650293e-103,477.90421869422755,1.6765537114656416e-104,1884.0,39.0,0.01,0.020700636942675158,16.6498846423695,4.495304232292818e-05,1884.0,39.0,0.01,0.020700636942675158,16.6498846423695,4.495304232292818e-05,1831.0,13.0,13.0,26.0,175.21772252619388,5.366138059783638e-40,191.86760716856338,2.1700936460179995e-42
40,point_estimate,11,1878.0,0.07627614692443507,0.10005047084501736,0.5053248136315229,-0.4093485420032114,0.06940801245374394,0.5028769902207757,0.046833068476802873,0.10602822153164279,1.086282817132854,,1.6697889860667445,0.9313099041533547,0.9605963791267306,5.7902425587687265,0.6975505857294995,0.21395166814236793,0.28852859756620414,0.966986155484558,0.7929562122839295,0.8069665055335326,0.9909478168264111,1.3728527529348558,1.3796366088028484,0.9957401490947817,1.9552297514039791,1.9608649507557154,1878.0,2.0,0.05,0.0010649627263045794,173.05823840142503,1.5894638728421503e-39,1878.0,2.0,0.05,0.0010649627263045794,173.05823840142503,1.5894638728421503e-39,1873.0,2.0,2.0,0.0,0.004266667475715025,0.9479194314976882,173.06250506890075,2.6299925127522673e-38,1878.0,0.0,0.01,0.0,37.749061465751446,8.045541757202524e-10,1878.0,0.0,0.01,0.0,37.749061465751446,8.045541757202524e-10,1877.0,0.0,0.0,0.0,0.0,1.0,37.749061465751446,6.351780098365925e-09
40,point_estimate,42,1878.0,0.07614390811166065,0.10012228856585022,0.4968051118210863,-0.40522013851560856,0.06945994745910418,0.5016523137541544,0.04712980007886172,0.0995472973356064,1.080599104550878,,1.6610428856139163,0.9259850905218318,0.9600638977635783,5.781240010346388,0.7050053248136315,0.21420490527774855,0.2889273582778921,0.9653887113951012,0.7941030427700205,0.8084131139977724,0.9920127795527156,1.3735273960303294,1.3820597361264269,0.9952076677316294,1.967092043268684,1.9733605177657076,1878.0,1.0,0.05,0.0005324813631522897,181.4710989343368,2.3132725230130267e-41,1878.0,1.0,0.05,0.0005324813631522897,181.4710989343368,2.3132725230130267e-41,1875.0,1.0,1.0,0.0,0.0010660981315346874,0.9739527732153265,181.47216503246833,3.924822799251333e-40,1878.0,0.0,0.01,0.0,37.749061465751446,8.045541757202524e-10,1878.0,0.0,0.01,0.0,37.749061465751446,8.045541757202524e-10,1877.0,0.0,0.0,0.0,0.0,1.0,37.749061465751446,6.351780098365925e-09
40,point_estimate,73,1878.0,0.07619719171249015,0.0996804417554353,0.5085197018104366,-0.4088718555947845,0.0694653657409655,0.5019630565787203,0.04732047607005308,,1.0932873218794308,,1.6772534245124413,0.9297124600638977,0.9579339723109691,5.790799707848725,0.691160809371672,0.2139245261570516,0.29006257536755287,0.9680511182108626,0.7911224549212187,0.805610814969131,0.9941427050053249,1.3703178285568365,1.375605499666245,0.9973375931842385,1.96317203219417,1.966440977734719,1878.0,0.0,0.05,0.0,192.65761371963998,8.360880289986266e-44,1878.0,0.0,0.05,0.0,192.65761371963998,8.360880289986266e-44,1877.0,0.0,0.0,0.0,0.0,1.0,192.65761371963998,1.4619439839617728e-42,1878.0,0.0,0.01,0.0,37.749061465751446,8.045541757202524e-10,1878.0,0.0,0.01,0.0,37.749061465751446,8.045541757202524e-10,1877.0,0.0,0.0,0.0,0.0,1.0,37.749061465751446,6.351780098365925e-09
