horizon,scenario_mode,fold,seed,n_origins,mae,rmse,directional_accuracy,nlpd,crps,pit_mean,pit_variance,realized_es95,forecast_es95,realized_es99,forecast_es99,drawdown_90_coverage,drawdown_95_coverage,time_under_water_mae,wis,brier_negative_return,realized_negative_rate,brier_drawdown_5pct,realized_drawdown_5pct_rate,forecast_drawdown_5pct_rate,brier_drawdown_10pct,realized_drawdown_10pct_rate,forecast_drawdown_10pct_rate,brier_drawdown_15pct,realized_drawdown_15pct_rate,forecast_drawdown_15pct_rate,coverage_50,width_50,interval_score_50,coverage_80,width_80,interval_score_80,coverage_90,width_90,interval_score_90,coverage_95,width_95,interval_score_95,kupiec_95_observations,kupiec_95_exceedances,kupiec_95_expected_rate,kupiec_95_observed_rate,kupiec_95_lr_uc,kupiec_95_p_value_uc,christoffersen_95_observations,christoffersen_95_exceedances,christoffersen_95_expected_rate,christoffersen_95_observed_rate,christoffersen_95_lr_uc,christoffersen_95_p_value_uc,christoffersen_95_n00,christoffersen_95_n01,christoffersen_95_n10,christoffersen_95_n11,christoffersen_95_lr_independence,christoffersen_95_p_value_independence,christoffersen_95_lr_conditional_coverage,christoffersen_95_p_value_conditional_coverage,kupiec_99_observations,kupiec_99_exceedances,kupiec_99_expected_rate,kupiec_99_observed_rate,kupiec_99_lr_uc,kupiec_99_p_value_uc,christoffersen_99_observations,christoffersen_99_exceedances,christoffersen_99_expected_rate,christoffersen_99_observed_rate,christoffersen_99_lr_uc,christoffersen_99_p_value_uc,christoffersen_99_n00,christoffersen_99_n01,christoffersen_99_n10,christoffersen_99_n11,christoffersen_99_lr_independence,christoffersen_99_p_value_independence,christoffersen_99_lr_conditional_coverage,christoffersen_99_p_value_conditional_coverage
20,point_estimate,0,11,628.0,0.05306711573081136,0.07356240545400966,0.5334394904458599,-0.9643168251017252,0.041806012259443644,0.5155728201239115,0.05424389115886759,0.2382385834134395,0.5475708320416196,,0.8396439918805767,0.9092356687898089,0.9633757961783439,3.8552272532102747,0.03723809526893331,0.24999806242498873,0.39012738853503187,0.2934849697938665,0.2611464968152866,0.5267390311098474,0.15411611292905944,0.09554140127388536,0.31816383348982785,0.08114231396931602,0.03184713375796178,0.2262228289897979,0.6624203821656051,0.1093261668646857,0.17120271841546483,0.9187898089171974,0.3660002516438952,0.40969448513990137,0.9745222929936306,0.6582840231566168,0.690964293921731,0.9904458598726115,1.0020358153105957,1.0097355864838764,628.0,10.0,0.05,0.01592356687898089,20.67414352762151,5.444628717641055e-06,628.0,10.0,0.05,0.01592356687898089,20.67414352762151,5.444628717641055e-06,614.0,3.0,3.0,7.0,52.446668550906196,4.420923140083978e-13,73.1208120785277,1.324394599041488e-16,628.0,0.0,0.01,0.0,12.623221831997823,0.000380984117155984,628.0,0.0,0.01,0.0,12.623221831997823,0.000380984117155984,627.0,0.0,0.0,0.0,0.0,1.0,12.623221831997823,0.0018151068980564009
20,point_estimate,0,42,628.0,0.05252843147931961,0.07151305790501654,0.5015923566878981,-0.9731311491530611,0.04124347660484541,0.51550189449309,0.05344008526200412,0.24482559052971198,0.5620754967832784,,0.8713838003054113,0.9140127388535032,0.9697452229299363,3.8562017561744635,0.03670503918726184,0.2472537672702124,0.39012738853503187,0.29296808164720023,0.2611464968152866,0.525328264788594,0.154493225925033,0.09554140127388536,0.3182470733242927,0.08172127474606851,0.03184713375796178,0.22576781048909195,0.6528662420382165,0.10854563843139507,0.17047875525610984,0.9251592356687898,0.35953833848268785,0.3959160806985136,0.9777070063694268,0.65972718569008,0.6766535289199358,0.9952229299363057,1.0145536446440635,1.0199882479964393,628.0,8.0,0.05,0.012738853503184714,25.82816976877659,3.7320176628188577e-07,628.0,8.0,0.05,0.012738853503184714,25.82816976877659,3.7320176628188577e-07,614.0,5.0,5.0,3.0,16.95038119824953,3.836961457698967e-05,42.77855096702612,5.137545552385349e-10,628.0,0.0,0.01,0.0,12.623221831997823,0.000380984117155984,628.0,0.0,0.01,0.0,12.623221831997823,0.000380984117155984,627.0,0.0,0.0,0.0,0.0,1.0,12.623221831997823,0.0018151068980564009
20,point_estimate,0,73,628.0,0.053913467034607025,0.07397096816802462,0.5063694267515924,-0.9639426907755555,0.04165935981684273,0.5161795699934174,0.0540827899639728,0.250822341566685,0.5547419010654456,,0.865803727534706,0.9060509554140127,0.9761146496815286,3.848117023432117,0.037205907183270395,0.24807617443154548,0.39012738853503187,0.2928383722991217,0.2611464968152866,0.52628331960198,0.15500492386652306,0.09554140127388536,0.31983182250643816,0.08180231925386243,0.03184713375796178,0.22487028396927933,0.6576433121019108,0.1088431063419273,0.1713277253777788,0.9187898089171974,0.3635410768147254,0.40898009978832395,0.9729299363057324,0.6571653255609207,0.6881406235544679,0.9920382165605095,1.0059674780128252,1.0195614070348706,628.0,9.0,0.05,0.014331210191082803,23.13820026728378,1.5076553217801082e-06,628.0,9.0,0.05,0.014331210191082803,23.13820026728378,1.5076553217801082e-06,614.0,4.0,4.0,5.0,33.596271001117174,6.782262537314977e-09,56.73447126840095,4.789234443387264e-13,628.0,0.0,0.01,0.0,12.623221831997823,0.000380984117155984,628.0,0.0,0.01,0.0,12.623221831997823,0.000380984117155984,627.0,0.0,0.0,0.0,0.0,1.0,12.623221831997823,0.0018151068980564009
20,point_estimate,1,11,629.0,0.05024517731615496,0.06549757685497168,0.424483306836248,-1.1939232756929032,0.03685503373295817,0.4520206453976959,0.07566318429156726,0.11927760010416948,0.37344990139892337,0.10609105179286701,0.6914387017560568,0.9236883942766295,0.9602543720190779,3.4566237178167327,0.028107271394962646,0.2802733838217916,0.47058823529411764,0.26564990503734237,0.49761526232114467,0.4253662479498264,0.1633736404875523,0.18600953895071543,0.20071351733551523,0.04861206628894878,0.0397456279809221,0.12520849349892604,0.48330683624801274,0.07802137326305059,0.160129428187417,0.8378378378378378,0.20623520806404502,0.261710525818194,0.9523052464228935,0.3732861882922525,0.4000229860399555,0.985691573926868,0.6169018787807745,0.6351854547932348,629.0,26.0,0.05,0.04133545310015898,1.0538295571421088,0.3046267511448184,629.0,26.0,0.05,0.04133545310015898,1.0538295571421088,0.3046267511448184,589.0,13.0,13.0,13.0,55.020575049751386,1.1927466660009365e-13,56.074404606893495,6.661894512757591e-13,629.0,4.0,0.01,0.006359300476947536,0.967077435088342,0.3254101412644489,629.0,4.0,0.01,0.006359300476947536,0.967077435088342,0.3254101412644489,623.0,1.0,1.0,3.0,29.05505599722311,7.035025756864749e-08,30.022133432311453,3.025356497047345e-07
20,point_estimate,1,42,629.0,0.049135408440320806,0.06463155691216031,0.4435612082670906,-1.1972625993561576,0.03652280722614118,0.4510954328345216,0.07465788700075159,0.13129554846893193,0.37009184754178115,0.11081482637610045,0.6918718252705763,0.9268680445151033,0.9697933227344993,3.426863578383255,0.027910962489912976,0.27763731909021466,0.47058823529411764,0.26407574352592117,0.49761526232114467,0.42447129580336945,0.16406899230986027,0.18600953895071543,0.19786743601223764,0.04792893703152549,0.0397456279809221,0.12320333532168912,0.5023847376788553,0.07678900217006968,0.1581673761205147,0.8473767885532592,0.20443604920380626,0.25995807149910194,0.9475357710651828,0.37067027296060756,0.39916768866453317,0.9777424483306836,0.6161502518648838,0.6390273206867862,629.0,30.0,0.05,0.04769475357710652,0.0714196024085254,0.7892809449638473,629.0,30.0,0.05,0.04769475357710652,0.0714196024085254,0.7892809449638473,587.0,11.0,11.0,19.0,91.89289152432605,9.149709666364484e-22,91.96431112673457,1.072021690922744e-20,629.0,3.0,0.01,0.0047694753577106515,2.1552590246901815,0.1420824807499401,629.0,3.0,0.01,0.0047694753577106515,2.1552590246901815,0.1420824807499401,624.0,1.0,1.0,2.0,19.356225726321995,1.0846504449595586e-05,21.511484751012176,2.1322613633173202e-05
20,point_estimate,1,73,629.0,0.050029725527378,0.06525419472998761,0.43879173290937995,-1.2043175073731458,0.0364801536209552,0.4522047094117055,0.07462955822784294,0.11963617001424179,0.37551739196543205,0.10609105179286701,0.694028183715662,0.9173290937996821,0.9697933227344993,3.403972545466132,0.027906172126555277,0.2747248056846428,0.47058823529411764,0.26359945726316586,0.49761526232114467,0.42538223782246826,0.16257213778160284,0.18600953895071543,0.19936855756022645,0.04815156202952279,0.0397456279809221,0.12308940236364271,0.48966613672496023,0.07705044534128659,0.15929195540577085,0.8457869634340223,0.20537554166459457,0.25845694146927867,0.9634340222575517,0.37431779417402583,0.39808101411296387,0.9841017488076311,0.6213904669929311,0.6408245807746462,629.0,19.0,0.05,0.030206677265500796,6.007133571209437,0.014248154656299828,629.0,19.0,0.05,0.030206677265500796,6.007133571209437,0.014248154656299828,602.0,7.0,7.0,12.0,68.89699444638029,1.0374280648210107e-16,74.90412801758973,5.4296928778840885e-17,629.0,4.0,0.01,0.006359300476947536,0.967077435088342,0.3254101412644489,629.0,4.0,0.01,0.006359300476947536,0.967077435088342,0.3254101412644489,623.0,1.0,1.0,3.0,29.05505599722311,7.035025756864749e-08,30.022133432311453,3.025356497047345e-07
20,point_estimate,2,11,629.0,0.04222345960183049,0.053847496293381536,0.6120826709062003,-1.363148214136738,0.03022274946679447,0.5428971667089123,0.07486576879432195,0.13019367430706927,0.3615296217892017,,0.6467444859291849,0.9348171701112877,0.9602543720190779,3.700124631515116,0.024024581392074754,0.22663573936657685,0.3449920508744038,0.21647790863536198,0.27821939586645467,0.36286211814658037,0.07498617883391526,0.06677265500794913,0.17506917568263028,0.041759096986100405,0.03656597774244833,0.1136409522520198,0.5246422893481717,0.06242335690046109,0.1308882747555124,0.8394276629570747,0.18000889104836876,0.2192406587494213,0.958664546899841,0.3526354277020862,0.36401561312613995,0.9904610492845787,0.6165871239186924,0.620957154289238,629.0,3.0,0.05,0.0047694753577106515,44.13481563471508,3.065203205704885e-11,629.0,3.0,0.05,0.0047694753577106515,44.13481563471508,3.065203205704885e-11,623.0,2.0,2.0,1.0,7.258117132682749,0.00705812525027359,51.39293276739783,6.92096168801016e-12,629.0,0.0,0.01,0.0,12.643322503704825,0.00037690952010818664,629.0,0.0,0.01,0.0,12.643322503704825,0.00037690952010818664,628.0,0.0,0.0,0.0,0.0,1.0,12.643322503704825,0.0017969558290758367
20,point_estimate,2,42,629.0,0.041953163907731975,0.053836122930652826,0.6073131955484896,-1.3579510802563362,0.030333029003109326,0.5461567599682252,0.07432155131977415,0.1136715867338111,0.3694647962555718,,0.6577546097146486,0.931637519872814,0.9666136724960255,3.6733050678303814,0.024124344786268567,0.22645976527772482,0.3449920508744038,0.2178496961167257,0.27821939586645467,0.3646918055719403,0.07684466436840476,0.06677265500794913,0.1754547839733414,0.04307200793645464,0.03656597774244833,0.11382601585475775,0.5278219395866455,0.06281691176082174,0.1312446541842732,0.8410174880763116,0.18142605673982076,0.22053852608334867,0.9618441971383148,0.35460001594320895,0.3685572690777159,0.9936406995230525,0.6226154637457806,0.625868782629227,629.0,6.0,0.05,0.009538950715421303,32.08918720028498,1.4725461241414426e-08,629.0,6.0,0.05,0.009538950715421303,32.08918720028498,1.4725461241414426e-08,617.0,5.0,5.0,1.0,4.150404835436305,0.04162457099328572,36.23959203572129,1.3510535913334546e-08,629.0,0.0,0.01,0.0,12.643322503704825,0.00037690952010818664,629.0,0.0,0.01,0.0,12.643322503704825,0.00037690952010818664,628.0,0.0,0.0,0.0,0.0,1.0,12.643322503704825,0.0017969558290758367
20,point_estimate,2,73,629.0,0.0426469512880299,0.05458444385507701,0.6073131955484896,-1.3576237477445845,0.03046391060562223,0.5457160265521944,0.0746367490162497,0.14482719367986596,0.35746292878761765,,0.6435932215305311,0.9252782193958664,0.9745627980922098,3.716840791216126,0.02418006604566991,0.22723147707723776,0.3449920508744038,0.21670465404747227,0.27821939586645467,0.36323496345525413,0.07534291411137639,0.06677265500794913,0.17588794271819577,0.04239972081577387,0.03656597774244833,0.11283941029733502,0.5310015898251192,0.0624554820186462,0.13200241336321508,0.848966613672496,0.18196776497294587,0.22156090756103256,0.9650238473767886,0.3532657463201976,0.3702149419692235,0.9904610492845787,0.6105282943373387,0.6157181784578503,629.0,4.0,0.05,0.006359300476947536,39.645272303176945,3.045410563359384e-10,629.0,4.0,0.05,0.006359300476947536,39.645272303176945,3.045410563359384e-10,621.0,3.0,3.0,1.0,5.914971081445792,0.015012749373129214,45.56024338462274,1.2785533425363272e-10,629.0,0.0,0.01,0.0,12.643322503704825,0.00037690952010818664,629.0,0.0,0.01,0.0,12.643322503704825,0.00037690952010818664,628.0,0.0,0.0,0.0,0.0,1.0,12.643322503704825,0.0017969558290758367
20,posterior_mean_mc,0,11,628.0,0.04771368251462414,0.06851067597884872,0.5382165605095541,-0.8862844128690088,0.0353608032195712,0.5508620656297073,0.08850740183848017,0.15489185686381846,0.10496984280242284,0.22170199366748852,0.1432330568777505,0.8550955414012739,0.9092356687898089,3.9008728974037896,0.024751175978813992,0.258970619991898,0.39012738853503187,0.21173471172277672,0.2611464968152866,0.24236129068468035,0.08904116633177352,0.09554140127388536,0.053834074079622506,0.031850668888501396,0.03184713375796178,0.0143965542252904,0.46337579617834396,0.06513826181604389,0.1590275360890875,0.7531847133757962,0.13411329655102502,0.23014430405962075,0.89171974522293,0.17874084126581793,0.29339190373069834,0.9378980891719745,0.21871375001784943,0.3902849981945413,628.0,38.0,0.05,0.06050955414012739,1.3724327642836442,0.2413943405626066,628.0,38.0,0.05,0.06050955414012739,1.3724327642836442,0.2413943405626066,580.0,9.0,9.0,29.0,151.97762002239233,6.407923162955229e-35,153.35005278667597,5.017173706384621e-34,628.0,21.0,0.01,0.03343949044585987,21.611701184207647,3.3380913554223225e-06,628.0,21.0,0.01,0.03343949044585987,21.611701184207647,3.3380913554223225e-06,602.0,4.0,4.0,17.0,115.3499185805469,6.596721425894905e-27,136.96161976475454,1.816193645437001e-30
20,posterior_mean_mc,0,42,628.0,0.0473935439659428,0.06819111177494284,0.5366242038216561,-0.843403230027425,0.03522345839218162,0.5506140286172996,0.08774603325324895,0.14773042620626944,0.10501715085480472,0.2087900111135707,0.1427933078641676,0.8550955414012739,0.9076433121019108,3.8764846131146955,0.024684375128890334,0.2560017784060045,0.39012738853503187,0.21025675925331372,0.2611464968152866,0.2414332085245036,0.08867423839647239,0.09554140127388536,0.05443529949052544,0.03178147121726373,0.03184713375796178,0.014771480521512408,0.4713375796178344,0.06479782005955943,0.15922787599616786,0.7627388535031847,0.13457539215691774,0.22883810520027253,0.8901273885350318,0.17878151191371786,0.29438427323736505,0.9442675159235668,0.219873516818068,0.38447729135561964,628.0,40.0,0.05,0.06369426751592357,2.2902940579213578,0.1301852562907135,628.0,40.0,0.05,0.06369426751592357,2.2902940579213578,0.1301852562907135,576.0,11.0,11.0,29.0,141.21454760309283,1.444202721319861e-32,143.50484166101418,6.891592189245971e-32,628.0,22.0,0.01,0.03503184713375796,24.122457217637248,9.039989108837943e-07,628.0,22.0,0.01,0.03503184713375796,24.122457217637248,9.039989108837943e-07,600.0,5.0,5.0,17.0,109.11595582948344,1.530644645287573e-25,133.23841304712067,1.1685470894775513e-29
20,posterior_mean_mc,0,73,628.0,0.04757847653742867,0.06848029132655331,0.5334394904458599,-0.8940200339514903,0.03539357459253721,0.5510939492849127,0.08928263269858559,0.15144121567475077,0.10496246637185809,0.23076672039411056,0.14389984920400234,0.8598726114649682,0.910828025477707,3.8827888293401913,0.024840010028119197,0.25664419978047265,0.39012738853503187,0.21308730168714538,0.2611464968152866,0.24263915449643927,0.08787231925837895,0.09554140127388536,0.05381230693380442,0.03177605506026599,0.03184713375796178,0.014607127008160904,0.4554140127388535,0.06534563978831658,0.15937960426662054,0.7436305732484076,0.1344010185656471,0.23003678752106016,0.8837579617834395,0.17805303676267506,0.2963523647655236,0.9394904458598726,0.21821730137711856,0.3967268647642644,628.0,39.0,0.05,0.06210191082802548,1.8040217813698405,0.1792270405848557,628.0,39.0,0.05,0.06210191082802548,1.8040217813698405,0.1792270405848557,575.0,13.0,13.0,26.0,117.69349718195724,2.0236288971390675e-27,119.49751896332708,1.1257538905785715e-26,628.0,20.0,0.01,0.03184713375796178,19.199514166342595,1.1774335330186596e-05,628.0,20.0,0.01,0.03184713375796178,19.199514166342595,1.1774335330186596e-05,604.0,3.0,3.0,17.0,122.4107076440866,1.8767428880107739e-28,141.6102218104292,1.777178470278671e-31
20,posterior_mean_mc,1,11,629.0,0.04843543929534778,0.06350741161761131,0.43243243243243246,-0.9894072521266598,0.036143198692024536,0.4669101880297854,0.11425993070932758,0.10831219759076288,0.09444587118191065,0.12953021567114875,0.1415060147433089,0.7631160572337043,0.848966613672496,3.520352286318292,0.025905436935333336,0.29161068446688654,0.47058823529411764,0.31318667010768153,0.49761526232114467,0.2287726256153388,0.1723574019456641,0.18600953895071543,0.04055126199317113,0.039425318971430326,0.0397456279809221,0.008846456716180501,0.3624801271860095,0.05506023556428277,0.16134442585355602,0.6422893481717011,0.10927718573316615,0.24971339410088889,0.7551669316375199,0.14614650425832895,0.3274827537055585,0.8394276629570747,0.18308334679959956,0.4204739460167433,629.0,98.0,0.05,0.15580286168521462,97.37077570537792,5.748828371740948e-23,629.0,98.0,0.05,0.15580286168521462,97.37077570537792,5.748828371740948e-23,516.0,14.0,14.0,84.0,334.1705582084221,1.1870013425294465e-74,431.54133391380003,1.9587994979483454e-94,629.0,51.0,0.01,0.08108108108108109,127.34203301142821,1.5636411332609547e-29,629.0,51.0,0.01,0.08108108108108109,127.34203301142821,1.5636411332609547e-29,565.0,12.0,12.0,39.0,181.48447269101598,2.297771795488204e-41,308.8265057024442,8.693133597450533e-68
20,posterior_mean_mc,1,42,629.0,0.04823399990085802,0.0634350517937947,0.43084260731319557,-0.9306250789529856,0.03605008542298508,0.46576219101565025,0.11423316855710369,0.1086239935516478,0.09464872349098856,0.129898854851457,0.14114484333795216,0.7647058823529411,0.8553259141494436,3.5141031067145616,0.025904396060020166,0.2904840296793082,0.47058823529411764,0.3120618238089457,0.49761526232114467,0.22799687939638,0.17125453851492486,0.18600953895071543,0.04074293970496413,0.0396741657975498,0.0397456279809221,0.009070135974523988,0.3751987281399046,0.054844979202760796,0.16016550367197374,0.6470588235294118,0.10912993993621148,0.24996450341990217,0.7503974562798092,0.1464117680885773,0.33084502937208987,0.8362480127186009,0.18391812189031798,0.4251379194528864,629.0,97.0,0.05,0.15421303656597773,94.87360785783972,2.0293751597279068e-22,629.0,97.0,0.05,0.15421303656597773,94.87360785783972,2.0293751597279068e-22,520.0,11.0,11.0,86.0,364.88514730409054,2.431514095559917e-81,459.75875516193025,1.4610154657470317e-100,629.0,55.0,0.01,0.08744038155802862,145.0145824397896,2.1319296544458453e-33,629.0,55.0,0.01,0.08744038155802862,145.0145824397896,2.1319296544458453e-33,561.0,12.0,12.0,43.0,198.67267075866653,4.0690174892301243e-45,343.6872531984561,2.3402444163003957e-75
20,posterior_mean_mc,1,73,629.0,0.048153464951815404,0.06321100606769274,0.4467408585055644,-1.036828044728598,0.035860678739890836,0.4684831963786307,0.11353285165972347,0.11124380657908196,0.09526423109604704,0.13083752740769006,0.1430536567800387,0.78060413354531,0.8600953895071543,3.4811005913156,0.025609937770116546,0.2889058029662783,0.47058823529411764,0.31297669809701284,0.49761526232114467,0.22872625038695804,0.16984424117531635,0.18600953895071543,0.040599672431561894,0.03964254073144255,0.0397456279809221,0.008733022778500134,0.37042925278219396,0.055085019621151185,0.15966750796244475,0.6550079491255962,0.10965938794186131,0.2458043610603782,0.7599364069952306,0.14651254884382997,0.3241130920231128,0.8314785373608903,0.18420434465951008,0.41293043087814363,629.0,92.0,0.05,0.14626391096979333,82.75766725655365,9.275532650082012e-20,629.0,92.0,0.05,0.14626391096979333,82.75766725655365,9.275532650082012e-20,525.0,11.0,11.0,81.0,348.6049421754796,8.529722834252464e-78,431.36260943203325,2.141901584639719e-94,629.0,51.0,0.01,0.08108108108108109,127.34203301142821,1.5636411332609547e-29,629.0,51.0,0.01,0.08108108108108109,127.34203301142821,1.5636411332609547e-29,563.0,14.0,14.0,37.0,162.10606618701976,3.922080017342089e-37,289.44809919844795,1.4032784645985412e-63
20,posterior_mean_mc,2,11,629.0,0.039008633187030926,0.05078387679931969,0.6550079491255962,-0.8111339860962478,0.029173201847725063,0.5407837004292948,0.12193958638097167,0.07094202689233053,0.06805048249323989,0.08820978001578468,0.10529372440470926,0.7408585055643879,0.8378378378378378,3.6534063276258526,0.02119312337073051,0.22746186636494153,0.3449920508744038,0.23927175840721113,0.27821939586645467,0.12089714728798552,0.06869714614430654,0.06677265500794913,0.02017988885008683,0.0370152956122617,0.03656597774244833,0.005492544119999569,0.34340222575516693,0.04001741379609405,0.1299240933291256,0.6136724960254372,0.08158700508395446,0.2066348951339381,0.7265500794912559,0.11126322554053421,0.27590696407649185,0.8139904610492846,0.14140142768584302,0.3584265722467234,629.0,84.0,0.05,0.13354531001589826,64.70933029895912,8.680286268546845e-16,629.0,84.0,0.05,0.13354531001589826,64.70933029895912,8.680286268546845e-16,528.0,16.0,16.0,68.0,268.0268452352816,3.054607920081463e-60,332.7361755342407,5.5880144173394493e-73,629.0,38.0,0.01,0.06041335453100159,74.91839089799277,4.905788811040027e-18,629.0,38.0,0.01,0.06041335453100159,74.91839089799277,4.905788811040027e-18,579.0,11.0,11.0,27.0,131.69901751909168,1.741138211878815e-30,206.61740841708445,1.3601907893422587e-45
20,posterior_mean_mc,2,42,629.0,0.03901298114121639,0.05101678980361957,0.6518282988871225,-0.48461967897693886,0.029271958214152,0.543360440149152,0.12153069907192503,0.07124488432300949,0.06843533505520417,0.08735539539821528,0.10765224198198245,0.7488076311605724,0.8394276629570747,3.6385096225430464,0.021352407057769147,0.22607005243415115,0.3449920508744038,0.2384800482959318,0.27821939586645467,0.12097690203226134,0.06874437011893789,0.06677265500794913,0.02039419582549481,0.03708209479716569,0.03656597774244833,0.005777669810650807,0.34340222575516693,0.03986289311739545,0.13019492729257923,0.6089030206677265,0.08127583890694053,0.2094405573483539,0.712241653418124,0.11143509652090038,0.27981442838249176,0.7996820349761526,0.14141580493410982,0.3666741525269793,629.0,85.0,0.05,0.13513513513513514,66.87196405129885,2.897261423013107e-16,629.0,85.0,0.05,0.13513513513513514,66.87196405129885,2.897261423013107e-16,527.0,16.0,16.0,69.0,271.3893330012059,5.650839943743463e-61,338.26129705250474,3.527707954237567e-74,629.0,42.0,0.01,0.06677265500794913,90.15965539984433,2.1969661281623428e-21,629.0,42.0,0.01,0.06677265500794913,90.15965539984433,2.1969661281623428e-21,576.0,10.0,10.0,32.0,160.9868930645451,6.886968652631488e-37,251.1465484643894,2.9121914765364244e-55
20,posterior_mean_mc,2,73,629.0,0.03904904649347116,0.0508675675777831,0.6550079491255962,-1.0337616242259522,0.029295004315878215,0.5426588844326765,0.12232719473163749,0.07110718075554706,0.06745897509982242,0.09217811181680682,0.10487816004974874,0.7519872813990461,0.8410174880763116,3.671495664651379,0.02116921352405494,0.22814663568494908,0.3449920508744038,0.2372668428613014,0.27821939586645467,0.12065857898904406,0.06866296264750166,0.06677265500794913,0.020357466227751437,0.037184597856186594,0.03656597774244833,0.005768218421401242,0.3497615262321145,0.04002794832356765,0.1303249894523085,0.5977742448330684,0.08158422521954035,0.20773726545634155,0.7186009538950715,0.1114446784310997,0.2724914286687453,0.8108108108108109,0.14107911352187535,0.3487945140868616,629.0,84.0,0.05,0.13354531001589826,64.70933029895912,8.680286268546845e-16,629.0,84.0,0.05,0.13354531001589826,64.70933029895912,8.680286268546845e-16,527.0,17.0,17.0,67.0,258.279140070981,4.070307447049238e-58,322.9884703699401,7.310461596084026e-71,629.0,38.0,0.01,0.06041335453100159,74.91839089799277,4.905788811040027e-18,629.0,38.0,0.01,0.06041335453100159,74.91839089799277,4.905788811040027e-18,578.0,12.0,12.0,26.0,122.19209707441058,2.0953544730247923e-28,197.11048797240335,1.5776162614735479e-43
